
=== BEST CONFIGURATION ===
Threadblock: 64x128x32
Warp: 32x32x32
Stages: 2
Performance: 45353.63 GFLOPS (63.9% of 71 TFLOPS peak)
tb_m,tb_n,tb_k,warp_m,warp_n,warp_k,stages,time_ms,gflops
64,64,32,32,32,32,2,5.618,24463.00
64,64,32,32,32,32,3,5.575,24652.16
64,64,32,32,64,32,2,5.394,25480.76
64,64,32,32,64,32,3,5.343,25721.01
64,64,32,64,32,32,2,5.458,25179.88
64,64,32,64,32,32,3,5.281,26026.52
64,64,32,64,64,32,2,8.273,16613.74
64,64,32,64,64,32,3,7.719,17805.62
64,128,32,32,32,32,2,3.030,45353.63
64,128,32,32,64,32,2,3.183,43178.55
64,128,32,64,32,32,2,3.207,42851.25
64,128,32,64,64,32,2,4.224,32534.98
128,64,32,32,32,32,2,4.998,27500.49
128,64,32,32,64,32,2,5.228,26288.54
128,64,32,64,32,32,2,5.220,26327.01
128,64,32,64,64,32,2,7.669,17921.46
